Name,first,second,third,fourth,fifth,total,,,,,,,,
Bran Stark,28015,27668,19942,0,15135,90760,,,,,,,,
Catelyn Stark,46280,36545,35459,0,0,118284,,,,,,,,
Daenerys Targaryan,41471,22836,40390,0,57677,162374,,,,,,,,
Eddard Stark,54109,0,0,0,0,54109,,,,,,,,
Jon Snow,37077,34468,58669,0,74061,204275,,,,,,,,
Arya Stark,20974,45906,54771,18887,11259,151797,,,,,,,,
Tyrion Lannister,38408,63765,58926,0,72777,233876,,,,,,,,
Sansa Stark,23402,26953,34295,23184,0,107834,,,,,,,,
Davos Seaworth,0,19420,27281,0,19650,66351,,,,,,,,
Theon Greyjoy,0,32065,0,0,40988,73053,,,,,,,,
Jaime Lannister,0,0,47147,44119,6093,97359,,,,,,,,
Samwell Tarly,0,0,27452,27923,0,55375,,,,,,,,
Cersei Lannister,0,0,0,65672,11344,77016,,,,,,,,
Brienne of Tarth,0,0,0,52688,0,52688,,,,,,,,
Aeron Greyjoy,0,0,0,11539,0,11539,,,,,,,,
Areo Hotah,0,0,0,7016,6083,13099,,,,,,,,
Asha Greyjoy,0,0,0,5514,20676,26190,,,,,,,,
Arys Oakheart,0,0,0,6242,0,6242,,,,,,,,
Victarion Greyjoy,0,0,0,12910,9421,22331,,,,,,,,
Arianne Martell,0,0,0,13824,0,13824,,,,,,,,
Quentyn Martell,0,0,0,0,18635,18635,,,,,,,,
Jon Connington,0,0,0,0,11395,11395,,,,,,,,
Melisandre,0,0,0,0,5701,5701,,,,,,,,
Barristan Selmy,0,0,0,0,21379,21379,,,,,,,,
pro/epi,3807,10159,11465,6339,12994,44764,,,,,,,,
total,293543,319785,415797,295857,415268,1740250,,,,,,,,
