Name,Total Pages,Total Chapters,Total Pages (GOT),Total Chapters (GOT),Total Pages (COK),Total Chapters (COK),Total Pages (SOS),Total Chapters (SOS),Total Pages (FFC),Total Chapters (FFC),Total Pages (DWD),Total Chapters (DWD)
Tyrion Lannister,649,47,107,9,197,15,161,11,0,0,184,12
Jon Snow,553,42,100,9,105,8,160,12,0,0,188,13
Daenerys Targaryen,434,31,112,10,66,5,109,6,0,0,147,10
Arya Stark,433,33,57,5,140,10,148,13,61,3,27,2
Catelyn Tully,333,25,127,11,110,7,96,7,0,0,0,0
Sansa Stark,317,24,64,6,84,8,93,7,76,3,0,0
Jaime Lannister,294,17,0,0,0,0,131,9,147,7,16,1
Bran Stark,256,21,78,7,86,7,54,4,0,0,38,3
Cersei Lannister,247,12,0,0,0,0,0,0,219,10,28,2
Theon Greyjoy,196,13,0,0,95,6,0,0,0,0,101,7
Davos Seaworth,180,13,0,0,57,3,74,6,0,0,49,4
Brienne of Tarth,172,8,0,0,0,0,0,0,172,8,0,0
Samwell Tarly,163,10,0,0,0,0,72,5,91,5,0,0
Eddard Stark,150,15,150,15,0,0,0,0,0,0,0,0
Asha Greyjoy,70,4,0,0,0,0,0,0,18,1,52,3
Victarion Greyjoy,66,4,0,0,0,0,0,0,43,2,23,2
Barristan Selmy,57,4,0,0,0,0,0,0,0,0,57,4
Quentyn Martell,48,4,0,0,0,0,0,0,0,0,48,4
Arianne Martell,46,2,0,0,0,0,0,0,46,2,0,0
Aeron Greyjoy,38,2,0,0,0,0,0,0,38,2,0,0
Areo Hotah,38,2,0,0,0,0,0,0,23,1,15,1
Maester Cressen,29,1,0,0,29,1,0,0,0,0,0,0
Jon Connington,29,2,0,0,0,0,0,0,0,0,29,2
Pate,22,1,0,0,0,0,0,0,22,1,0,0
Arys Oakheart,20,1,0,0,0,0,0,0,20,1,0,0
Kevan Lannister,18,1,0,0,0,0,0,0,0,0,18,1
Chett,17,1,0,0,0,0,17,1,0,0,0,0
Varamyr Sixskins,15,1,0,0,0,0,0,0,0,0,15,1
Melisandre,14,1,0,0,0,0,0,0,0,0,14,1
Merrett Frey,13,1,0,0,0,0,13,1,0,0,0,0
Will,12,1,12,1,0,0,0,0,0,0,0,0
