Name,imdb_url,screentime,episodes,portrayed_by_name
Tyrion Lannister,http://www.imdb.com/character/ch0146096/,293.3,54,Peter Dinklage
Jon Snow,http://www.imdb.com/character/ch0155777/,268.15,49,Kit Harington
Daenerys Targaryen,http://www.imdb.com/character/ch0158597/,221.3,49,Emilia Clarke
Cersei Lannister,http://www.imdb.com/character/ch0159526/,201.45,52,Lena Headey
Sansa Stark,http://www.imdb.com/character/ch0158137/,199.3,47,Sophie Turner
Arya Stark,http://www.imdb.com/character/ch0158604/,189.15,47,Maisie Williams
Jaime Lannister,http://www.imdb.com/character/ch0158527/,162.3,43,Nikolaj Coster-Waldau
Theon Greyjoy,http://www.imdb.com/character/ch0158526/,123.3,39,Alfie Allen
Samwell Tarly,http://www.imdb.com/character/ch0244961/,121.45,37,John Bradley
Jorah Mormont,http://www.imdb.com/character/ch0158221/,117.3,42,Iain Glen
Petyr 'Littlefinger' Baelish,http://www.imdb.com/character/ch0245982/,102.15,35,Aidan Gillen
Eddard 'Ned' Stark,http://www.imdb.com/character/ch0154681/,99.45,16,Sean Bean
Brienne of Tarth,http://www.imdb.com/character/ch0254503/,89.3,32,Gwendoline Christie
Davos Seaworth,http://www.imdb.com/character/ch0255396/,89.3,29,Liam Cunningham
Bran Stark,http://www.imdb.com/character/ch0234897/,86,30,Isaac Hempstead Wright
Catelyn Stark,http://www.imdb.com/character/ch0145135/,82.45,26,Michelle Fairley
Lord Varys,http://www.imdb.com/character/ch0249636/,81.45,36,Conleth Hill
Tywin Lannister,http://www.imdb.com/character/ch0242185/,78.15,27,Charles Dance
Margaery Tyrell,http://www.imdb.com/character/ch0251974/,78,26,Natalie Dormer
Robb Stark,http://www.imdb.com/character/ch0158596/,77.45,21,Richard Madden
Stannis Baratheon,http://www.imdb.com/character/ch0250897/,73.15,24,Stephen Dillane
Sandor 'The Hound' Clegane,http://www.imdb.com/character/ch0162882/,72.45,29,Rory McCann
Joffrey Baratheon,http://www.imdb.com/character/ch0156278/,70.15,26,Jack Gleeson
Ramsay Bolton,http://www.imdb.com/character/ch0321004/,66,20,Iwan Rheon
Melisandre,http://www.imdb.com/character/ch0287523/,65.45,26,Carice van Houten
Bronn,http://www.imdb.com/character/ch0241345/,64,29,Jerome Flynn
Gilly,http://www.imdb.com/character/ch0306819/,52,21,Hannah Murray
Ygritte,http://www.imdb.com/character/ch0304492/,51,17,Rose Leslie
Shae,http://www.imdb.com/character/ch0250564/,47.15,20,Sibel Kekilli
Daario Naharis,http://www.imdb.com/character/ch0335040/,46,21,Ed Skrein
Missandei,http://www.imdb.com/character/ch0316923/,45.45,29,Nathalie Emmanuel
Tommen Baratheon,http://www.imdb.com/character/ch0256424/,43.15,24,Callum Wharry
Tormund Giantsbane,http://www.imdb.com/character/ch0316925/,41.45,24,Kristofer Hivju
Podrick Payne,http://www.imdb.com/character/ch0306046/,41.15,26,Daniel Portman
Olenna Tyrell,http://www.imdb.com/character/ch0010188/,38.15,16,Diana Rigg
High Sparrow,http://www.imdb.com/character/ch0476559/,37.3,12,Jonathan Pryce
Barristan Selmy,http://www.imdb.com/character/ch0241346/,37.15,25,Ian McElhinney
Grand Maester Pycelle,http://www.imdb.com/character/ch0232836/,35.15,31,Julian Glover
Loras Tyrell,http://www.imdb.com/character/ch0231428/,33,20,Finn Jones
Grey Worm,http://www.imdb.com/character/ch0335038/,32.15,24,Jacob Anderson
Talisa Maegyr,http://www.imdb.com/character/ch0305007/,30.45,12,Oona Chaplin
Robert Baratheon,http://www.imdb.com/character/ch0155776/,30.3,7,Mark Addy
Roose Bolton,http://www.imdb.com/character/ch0305006/,30.15,19,Michael McElhatton
Osha,http://www.imdb.com/character/ch0295802/,29.45,16,Natalia Tena
Eddison Tollett,http://www.imdb.com/character/ch0305008/,29.15,29,Ben Crompton
Hodor,http://www.imdb.com/character/ch0238584/,29,23,Kristian Nairn
Gendry,http://www.imdb.com/character/ch0300040/,28.45,17,Joe Dempsie
Oberyn Martell,http://www.imdb.com/character/ch0392307/,28.3,7,Pedro Pascal
Yara Greyjoy,http://www.imdb.com/character/ch0300217/,27,12,Gemma Whelan
Meera Reed,http://www.imdb.com/character/ch0316928/,27,13,Ellie Kendrick
Jaqen H'ghar,http://www.imdb.com/character/ch0259179/,26.3,18,Tom Wlaschiha
Alliser Thorne,http://www.imdb.com/character/ch0246938/,26,19,Owen Teale
Khal Drogo,http://www.imdb.com/character/ch0171388/,25,10,Jason Momoa
Renly Baratheon,http://www.imdb.com/character/ch0246253/,24,8,Gethin Anthony
Maester Luwin,http://www.imdb.com/character/ch0171393/,23.3,13,Donald Sumpter
Ros,http://www.imdb.com/character/ch0010187/,21.45,14,Esmé Bianco
Grenn,http://www.imdb.com/character/ch0251496/,21.15,22,Mark Stanley
Mance Rayder,http://www.imdb.com/character/ch0335039/,21,5,Ciarán Hinds
Jeor Mormont,http://www.imdb.com/character/ch0251492/,21,12,James Cosmo
Viserys Targaryen,http://www.imdb.com/character/ch0155775/,20.3,6,Harry Lloyd
Qyburn,http://www.imdb.com/character/ch0316929/,19.15,14,Anton Lesser
Jojen Reed,http://www.imdb.com/character/ch0316921/,19,10,Thomas Brodie-Sangster
Maester Aemon,http://www.imdb.com/character/ch0246936/,19,11,Peter Vaughan
Ellaria Sand,http://www.imdb.com/character/ch0309687/,18.3,11,Indira Varma
Lancel Lannister,http://www.imdb.com/character/ch0376927/,18.3,17,Eugene Simon
Shireen Baratheon,http://www.imdb.com/character/ch0306346/,18.15,10,Kerry Ingram
Edmure Tully,http://www.imdb.com/character/ch0316931/,17.45,8,Tobias Menzies
Gregor Clegane,http://www.imdb.com/character/ch0245401/,17.15,14,Conan Stevens
Lysa Arryn,http://www.imdb.com/character/ch0251736/,16.3,5,Kate Dickie
Meryn Trant,http://www.imdb.com/character/ch0246933/,16,18,Ian Beattie
Brynden 'Blackfish' Tully,http://www.imdb.com/character/ch0381563/,16,7,Clive Russell
Walder Frey,http://www.imdb.com/character/ch0305328/,15.45,5,David Bradley
Thoros of Myr,http://www.imdb.com/character/ch0316927/,15,7,Paul Kaye
Janos Slynt,http://www.imdb.com/character/ch0300651/,14.15,15,Dominic Carter
Locke,http://www.imdb.com/character/ch0045904/,13,8,Noah Taylor
Myranda,http://www.imdb.com/character/ch0316926/,13,8,Charlotte Hope
Rickon Stark,http://www.imdb.com/character/ch0233141/,12.45,14,Art Parkinson
Rodrik Cassel,http://www.imdb.com/character/ch0171391/,12.45,15,Ron Donachie
Waif,http://www.imdb.com/character/ch0508054/,12.45,11,Faye Marsay
Hot Pie,http://www.imdb.com/character/ch0273432/,12.45,10,Ben Hawkey
Rast,http://www.imdb.com/character/ch0251498/,12.45,12,Luke Barnes
Septa Unella,http://www.imdb.com/character/ch0512215/,12.3,8,Hannah Waddingham
Olly,http://www.imdb.com/character/ch0508055/,12.3,17,Brenock O'Connor
Doreah,http://www.imdb.com/character/ch0248504/,12.3,11,Roxanne McKee
Balon Greyjoy,http://www.imdb.com/character/ch0292152/,12.15,4,Patrick Malahide
Benjen Stark,http://www.imdb.com/character/ch0153996/,12,7,Joseph Mawle
Pypar,http://www.imdb.com/character/ch0273477/,12,13,Josef Altin
Yoren,http://www.imdb.com/character/ch0251493/,12,7,Francis Magee
Myrcella Baratheon,http://www.imdb.com/character/ch0238585/,11.45,12,Aimee Richardson
Hizdahr zo Loraq,http://www.imdb.com/character/ch0414458/,11.45,8,Joel Fry
Mace Tyrell,http://www.imdb.com/character/ch0384328/,11.3,13,Roger Ashton-Griffiths
Robin Arryn,http://www.imdb.com/character/ch0300949/,11.15,8,Lino Facioli
Beric Dondarrion,http://www.imdb.com/character/ch0305320/,11.15,6,David Michael Scott
Karl Tanner,http://www.imdb.com/character/ch0396528/,11.15,4,Burn Gorman
Selyse Baratheon,http://www.imdb.com/character/ch0316924/,11,11,Sarah MacKeever
Xaro Xhoan Daxos,http://www.imdb.com/character/ch0303950/,10.3,5,Nonso Anozie
Irri,http://www.imdb.com/character/ch0249444/,10,13,Amrita Acharia
Lady Crane,http://www.imdb.com/character/ch0541190/,10,3,Essie Davis
Qhorin Halfhand,http://www.imdb.com/character/ch0303951/,9.3,4,Simon Armstrong
Orell,http://www.imdb.com/character/ch0316922/,9,6,Mackenzie Crook
Rakharo,http://www.imdb.com/character/ch0251495/,8.45,8,Elyes Gabel
Kevan Lannister,http://www.imdb.com/character/ch0305013/,8.3,11,Ian Gelder
Tyene Sand,http://www.imdb.com/character/ch0468075/,8.3,7,Rosabell Laurenti Sellers
Olyvar,http://www.imdb.com/character/ch0403194/,8.15,6,Will Tudor
Three-Eyed Raven,http://www.imdb.com/character/ch0414457/,8,9,Struan Rodger
Alton Lannister,http://www.imdb.com/character/ch0305012/,8,3,Karl Davies
Yezzan zo Qaggaz,http://www.imdb.com/character/ch0470706/,7.45,4,Enzo Cilenti
Doran Martell,http://www.imdb.com/character/ch0468006/,7.3,5,Alexander Siddig
Mirri Maz Duur,http://www.imdb.com/character/ch0305011/,7.3,3,Mia Soteriou
Wun Wun,http://www.imdb.com/character/ch0524621/,7.3,5,Ian Whyte
Syrio Forel,http://www.imdb.com/character/ch0246934/,7.15,3,Miltos Yerolemou
Nymeria Sand,http://www.imdb.com/character/ch0468074/,7,7,Jessica Henwick
Obara Sand,http://www.imdb.com/character/ch0468001/,6.45,7,Keisha Castle-Hughes
